id,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,HR: Textually explicit activities,HR Notes,MM: Textually explicit activities,MM Notes,Flag for discussion,DONid,RK/CC notes,Master coding,Master coding fixed names
276,Middle East respiratory syndrome coronavirus (MERS-CoV) - United Arab Emirates,5/24/2015,https://www.who.int/emergencies/disease-outbreak-news/item/24-may-2015-mers-are-en/,MERS-CoV,,United Arab Emirates,"Collect biological and environmental samples,Collect case patient information,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,Publish and share data,WHO/WOAH notification","""the IHR National Focal Point of the United Arab Emirates notified WHO of 1 additional case of Middle East respiratory syndrome coronavirus (MERS-CoV) infection. "" = notification of IHR event and count cases

""A sputum sample tested positive for MERS-CoV on 17 May, "" = collect biological sample

""The National IHR Focal Point of the United Arab Emirates informed the National IHR Focal Point of Oman about this case"" = publish and share data

"" Globally, WHO has been notified of 1135 laboratory-confirmed cases of infection with MERS-CoV, including at least 427 related deaths."" = count cases and deaths","Collect case patient information,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,checked,DON-2015-05-24-a,"rk: i think yes to all

DR +1
","Collect biological and environmental samples,Collect case patient information,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,Publish and share data,WHO/WOAH notification","Collect biological and environmental samples, Collect case patient information, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Initiate epidemiological investigation, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Provide clinical care, Publish and share data, WHO/WOAH notification"
277,Middle East respiratory syndrome coronavirus (MERS-CoV) - Republic of Korea,5/24/2015,https://www.who.int/emergencies/disease-outbreak-news/item/24-may-2015-mers-korea-en/,MERS-CoV,,Republic of Korea,"Collect biological and environmental samples,Collect case patient information,Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","""the National IHR Focal Point of the Republic of Korea notified WHO of the first laboratory confirmed case of Middle East respiratory syndrome coronavirus (MERS-CoV) infection. On 21 May, two additional confirmed cases were reported."" = notification of ihr event

""A sputum sample tested positive for MERS-CoV on 20 May, whereupon he was transferred to the nationally designated treatment facility for isolation. "" = collect biological and environmental samples

""he was transferred to the nationally designated treatment facility"" = transport or evacuate patients

""investigation of the source of infection is ongoing."" = initiate epidemiological investigation","Collect case patient information,Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,checked,DON-2015-05-24-b,"rk: yes to samples and invetigation. no to transport.  (DON describes a traveler, but the investigation/response had nothing to do with moving the patient)

DR +1
","Collect biological and environmental samples,Collect case patient information,Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect biological and environmental samples, Collect case patient information, Confirm diagnoses, Count cases, Identify agent based on laboratory testing, Initiate epidemiological investigation, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
278,Middle East respiratory syndrome coronavirus (MERS-CoV) - Qatar,5/24/2015,https://www.who.int/emergencies/disease-outbreak-news/item/24-may-2015-mers-qatar-en/,MERS-CoV,,Qatar,"Collect biological and environmental samples,Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","""The National IHR Focal Point of Qatar notified WHO of 1 additional case of Middle East respiratory syndrome coronavirus (MERS-CoV) infection"" = count cases + notification of IHR event

""Nasopharyngeal and oropharyngeal swabs tested positive"" = collect biological and environmental samples; identify agent

""The patient has a history of frequent contact with camels but no consumption of raw camel milk. He has no history of exposure to other known risk factors in the 14 days prior to the onset of symptoms."" = develop hypothesis

"" Globally, WHO has been notified of 1131 laboratory-confirmed cases of infection with MERS-CoV, including at least 427 related deaths."" = count cases; count deaths; confirm diagnoses","Collect case patient information,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,checked,DON-2015-05-24-c,"RK: yes to all

DR no to count deaths since they are global.

","Collect biological and environmental samples,Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect biological and environmental samples, Collect case patient information, Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
279,Middle East respiratory syndrome coronavirus (MERS-CoV) - Republic of Korea,6/19/2015,https://www.who.int/emergencies/disease-outbreak-news/item/19-june-2015-mers-korea-en/,MERS-CoV,,Republic of Korea,"Complete descriptive analysis of outbreak,Confirm diagnoses,Count cases,Count deaths,Monitor and manage suspected cases,Perform contact tracing activities,WHO/WOAH notification",""" On 16 June, the Director-General of the World Health Organization convened the ninth Meeting of the Emergency Committee on MERS-CoV under the International Health Regulations. The WHO Secretariat provided the Committee with updates on the epidemiology of MERS-CoV in the Republic of Korea and China. The Committee expressed the need for all countries to be better prepared for the unanticipated possibility of an outbreak but concluded that MERS-CoV does not currently meet the conditions to be classified as a Public Health Emergency of International Concern.""","Complete descriptive analysis of outbreak,Confirm diagnoses,Count cases,Count deaths,Monitor and manage suspected cases,Perform contact tracing activities,WHO/WOAH notification",,,DON-2015-06-19,,"Complete descriptive analysis of outbreak,Confirm diagnoses,Count cases,Count deaths,Monitor and manage suspected cases,Perform contact tracing activities,WHO/WOAH notification","Complete descriptive analysis of outbreak, Confirm diagnoses, Count cases, Count deaths, Monitor and manage suspected cases, Perform contact tracing activities, WHO/WOAH notification"
280,Middle East respiratory syndrome coronavirus (MERS-CoV) - United Arab Emirates,6/26/2015,https://www.who.int/emergencies/disease-outbreak-news/item/26-june-2015-mers-are-en/,MERS-CoV,,United Arab Emirates,"Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","""The National IHR Focal Point of the United Arab Emirates notified WHO of 2 additional cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection. "" AND "" The National IHR Focal Point of the United Arab Emirates also notified WHO of the death of the MERS-CoV case that was reported in a previous DON on 16 June."" = notification of IHR event; count cases; count deaths

""she is a family member of a laboratory-confirmed MERS-CoV case "" = confirm diagnoses","Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,checked,DON-2015-06-26-a,"rk: yes, but is having someone in a negative pressure room implementing IPC? i guess so

DR +1
","Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect case patient information, Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Implement infection prevention and control (IPC) measures, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
281,Human infection with avian influenza A(H5N6) virus - China,7/14/2015,https://www.who.int/emergencies/disease-outbreak-news/item/14-july-2015-avian-influenza-en/,Influenza A,H5N6,China,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,,DON-2015-07-14-a,,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect biological and environmental samples, Conduct disease surveillance, Confirm diagnoses, Identify agent based on laboratory testing, Initiate epidemiological investigation, Monitor and manage suspected cases, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
282,Meningococcal disease - Niger (update),7/23/2015,https://www.who.int/emergencies/disease-outbreak-news/item/23-july-2015-niger-en/,Meningococcal disease,,Niger,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine the existence of an outbreak,Diagnose cases,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Initiate epidemiological investigation,Initiate immunization campaign,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","""Epidemic committee activated"" -- EOC or IAC?

""Nm serogroup W also being identified in 12% of positive samples."" = collecti biological and environmental samples

""n international team comprising experts from WHO and the US Centers for Disease Control and Prevention (CDC) was deployed to support the Ministry of Public Health"" = coordinate with international partners + provide technical assistance

""In addition to mass immunization campaigns and enhanced surveillance"" = initiate immunization campaign","Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine the existence of an outbreak,Diagnose cases,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Initiate immunization campaign,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","Epidemic committee - inter-agency coordinating committee?

International team - rapid response team?",checked,DON-2015-07-23,"RK: yes to all but IPC.  (I didn't see that)

DR +1","Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Determine the existence of an outbreak,Diagnose cases,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Initiate epidemiological investigation,Initiate immunization campaign,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","Collect biological and environmental samples, Conduct disease surveillance, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Create inter-agency coordinating committee, Determine the existence of an outbreak, Diagnose cases, Empower community to make decisions and implement and manage change, Establish and train rapid response team, Identify agent based on laboratory testing, Initiate epidemiological investigation, Initiate immunization campaign, Issue request for assistance, Procure and transport medical countermeasures (MCMs), Provide technical assistance, Share information and key messages with the public, WHO/WOAH notification"
283,Poliovirus in Madagascar,7/24/2015,https://www.who.int/emergencies/disease-outbreak-news/item/24-july-2015-polio-en/,Polio,cDPV1,Madagascar,"Conduct risk assessment,Confirm diagnoses,Count cases,Genetically sequence samples,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs)","""8 new cases of circulating vaccine-derived poliovirus type 1 (cVDPV1) have been confirmed,"" = count cases

""including subnational immunization days and national immunization day"" - initiate immunization campaign","Conduct risk assessment,Confirm diagnoses,Count cases,Genetically sequence samples,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs)",,,DON-2015-07-24-b,,"Conduct risk assessment,Confirm diagnoses,Count cases,Genetically sequence samples,Initiate immunization campaign,Procure and transport medical countermeasures (MCMs)","Conduct risk assessment, Confirm diagnoses, Count cases, Genetically sequence samples, Initiate immunization campaign, Procure and transport medical countermeasures (MCMs)"
284,Middle East respiratory syndrome coronavirus (MERS-CoV) - Jordan,9/18/2015,https://www.who.int/emergencies/disease-outbreak-news/item/18-september-2015-mers-jordan-en/,MERS-CoV,,Jordan,"Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Document and communicate the results of epidemiological investigation,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","""the National IHR Focal Point of Jordan notified WHO of 5 additional cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection, including 2 deaths"" = notification of IHR event + count cases + count deaths

""details of the case"" = document and communicate results of epi investigation","Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Document and communicate the results of epidemiological investigation,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",Capturing patient history,checked,DON-2015-09-18,"RK: yes to documenting

DR +1
","Collect case patient information,Confirm diagnoses,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Document and communicate the results of epidemiological investigation,Identify agent based on laboratory testing,Initiate epidemiological investigation,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect case patient information, Confirm diagnoses, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Document and communicate the results of epidemiological investigation, Identify agent based on laboratory testing, Initiate epidemiological investigation, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
285,Circulating vaccine-derived poliovirus - Lao People’s Democratic Republic,10/12/2015,https://www.who.int/emergencies/disease-outbreak-news/item/12-october-2015-polio-en/,Polio,cDPV1,Lao People's Democratic Republic,"Activate emergency operations center (EOC),Collect biological and environmental samples,Collect case patient information,Collect vaccination data,Complete public health needs assessment,Conduct risk assessment,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Initiate epidemiological investigation,Initiate immunization campaign,Manage emergency operations center (EOC) operations,Notification of International Health Regulation (IHR) event,Perform active case finding,Provide technical assistance,WHO/WOAH notification","""the National IHR Focal Point of the Lao People’s Democratic Republic (PDR) notified WHO "" = notification of IHR event

""A joint team of the Ministry of Health, the World Health Organization, UNICEF and the Lao Office of US Centers for Disease Control and Prevention team travelled to the province for further assessment on 7 October. "" = provide tech assistance and coordinate response with international partners

""Preparations are under way for large-scale supplementary OPV immunization campaigns"" = initiate immunization campaign

""Genetic sequencing of the virus confirmed on 6 October that it is vaccine-derived "" = identify agent based on lab testing","Activate emergency operations center (EOC),Collect biological and environmental samples,Collect case patient information,Collect vaccination data,Complete public health needs assessment,Conduct risk assessment,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Initiate epidemiological investigation,Initiate immunization campaign,Manage emergency operations center (EOC) operations,Notification of International Health Regulation (IHR) event,Perform active case finding,Provide technical assistance,WHO/WOAH notification",,checked,DON-2015-10-12-d,"RK: yes to all, although iffy on sight visits

DR yes
","Activate emergency operations center (EOC),Collect biological and environmental samples,Collect case patient information,Collect vaccination data,Complete public health needs assessment,Conduct risk assessment,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Genetically sequence samples,Identify agent based on laboratory testing,Initiate epidemiological investigation,Initiate immunization campaign,Manage emergency operations center (EOC) operations,Notification of International Health Regulation (IHR) event,Perform active case finding,Provide technical assistance,WHO/WOAH notification","Activate emergency operations center (EOC), Collect biological and environmental samples, Collect case patient information, Collect vaccination data, Complete public health needs assessment, Conduct risk assessment, Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Genetically sequence samples, Identify agent based on laboratory testing, Initiate epidemiological investigation, Initiate immunization campaign, Manage emergency operations center (EOC) operations, Notification of International Health Regulation (IHR) event, Perform active case finding, Provide technical assistance, WHO/WOAH notification"
286,Zika virus infection - Suriname,11/13/2015,https://www.who.int/emergencies/disease-outbreak-news/item/13-november-2015-zika-en/,Zika virus disease,,Suriname,"Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,WHO/WOAH notification","""the National IHR Focal Point of Suriname notified PAHO/WHO of 4 additional cases"" = notification of IHR event; count cases","Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,WHO/WOAH notification",,,DON-2015-11-13-c,,"Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Notification of International Health Regulation (IHR) event,WHO/WOAH notification","Confirm diagnoses, Count cases, Identify agent based on laboratory testing, Notification of International Health Regulation (IHR) event, WHO/WOAH notification"
287,Cholera - United Republic of Tanzania,11/26/2015,https://www.who.int/emergencies/disease-outbreak-news/item/26-november-2015-cholera-tanzania-en/,Cholera,,United Republic of Tanzania,"Activate emergency operations center (EOC),Collect biological and environmental samples,Complete public health needs assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Manage and coordinate data collection and reporting,Manage emergency operations center (EOC) operations,Provide clean water,Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","""The national task force activated by the MOHSW continues to manage the outbreak."" = create inter-agency coordinating committee

""with the support of WHO HQ and the WHO regional office for Africa (WHO-AFRO) alongside other partners, the country is implementing rigorous control measures."" = coordinate response with international partners

""technical experts from the International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDR, B) have been deployed""= provide technical assistance

""Residual chlorine testing and water chlorination are being implemented to improve the access to safe water"" = collect biological and environmental samples 

""WHO and partners continue to work to provide additional skilled human resources"" = initiate medical response

","Activate emergency operations center (EOC),Collect biological and environmental samples,Complete public health needs assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Manage and coordinate data collection and reporting,Manage emergency operations center (EOC) operations,Provide clean water,Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","National Task Force = Rapid Response team?

Need GOAL language for national response plan

Need GOAL to better capture human resources",,DON-2015-11-26-a,,"Activate emergency operations center (EOC),Collect biological and environmental samples,Complete public health needs assessment,Conduct disease surveillance,Confirm diagnoses,Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,Create inter-agency coordinating committee,Empower community to make decisions and implement and manage change,Establish and train rapid response team,Identify agent based on laboratory testing,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Manage and coordinate data collection and reporting,Manage emergency operations center (EOC) operations,Provide clean water,Provide technical assistance,Share information and key messages with the public,WHO/WOAH notification","Activate emergency operations center (EOC), Collect biological and environmental samples, Complete public health needs assessment, Conduct disease surveillance, Confirm diagnoses, Coordinate national response across sectors, Coordinate response with international partners, Count cases, Count deaths, Create inter-agency coordinating committee, Empower community to make decisions and implement and manage change, Establish and train rapid response team, Identify agent based on laboratory testing, Initiate medical response, Maintain sanitation of facilities/buildings/vehicles/equipment, Manage and coordinate data collection and reporting, Manage emergency operations center (EOC) operations, Provide clean water, Provide technical assistance, Share information and key messages with the public, WHO/WOAH notification"
288,Zika virus infection - Cape Verde,12/21/2015,https://www.who.int/emergencies/disease-outbreak-news/item/21-december-2015-zika-cape-verde-en/,Zika virus disease,,Cape Verde,"Collect biological and environmental samples,Conduct disease surveillance,Count cases,Develop or update instruments governing public health surveillance and response,Empower community to make decisions and implement and manage change,Form differential diagnosis,Identify agent based on laboratory testing,Implement vector control measures,Integrate and analyze surveillance data,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Provide funding and/or financing,Provide technical assistance,Share information and key messages with the public,Transport samples internationally,WHO/WOAH notification","""the National IHR Focal Point of Cape Verde informed WHO of the country’s first reported epidemic of Zika virus infection."" = notification of IHR event

"" health centres in Praia, Santiago Island began to report cases of cutaneous rash and pruritus with and apparently without fever. "" = integrate and analyze surveillance data

""differential diagnosis included dengue, chikungunya, Rift Valley fever, West Nile fever, and yellow fever. Samples were also negative for measles and rubella."" = form differential diagnoses

""4,744 suspected cases of Zika virus infection have been reported. Suspected cases were reported from several municipalities"" AND ""monitoring pregnant women for detection of microcephaly and neurological complications – currently, about 30 cases among pregnant women are being followed."" = monitor and manage suspected cases

""vector control activities, "" = implement vector control

"" WHO is providing financial and technical support for vector control activities. "" = provide technical assistance


""developing a protocol with the Institute Pasteur of Dakar for assessing virus circulation and entomological risk amplification, "" = develop or update instruments on public health surveillance","Collect biological and environmental samples,Conduct disease surveillance,Count cases,Develop or update instruments governing public health surveillance and response,Empower community to make decisions and implement and manage change,Form differential diagnosis,Identify agent based on laboratory testing,Implement vector control measures,Integrate and analyze surveillance data,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Provide funding and/or financing,Provide technical assistance,Share information and key messages with the public,Transport samples internationally,WHO/WOAH notification",,,DON-2015-12-21-b,,"Collect biological and environmental samples,Conduct disease surveillance,Count cases,Develop or update instruments governing public health surveillance and response,Empower community to make decisions and implement and manage change,Form differential diagnosis,Identify agent based on laboratory testing,Implement vector control measures,Integrate and analyze surveillance data,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Provide funding and/or financing,Provide technical assistance,Share information and key messages with the public,Transport samples internationally,WHO/WOAH notification","Collect biological and environmental samples, Conduct disease surveillance, Count cases, Develop or update instruments governing public health surveillance and response, Empower community to make decisions and implement and manage change, Form differential diagnosis, Identify agent based on laboratory testing, Implement vector control measures, Integrate and analyze surveillance data, Monitor and manage suspected cases, Notification of International Health Regulation (IHR) event, Provide funding and/or financing, Provide technical assistance, Share information and key messages with the public, Transport samples internationally, WHO/WOAH notification"
289,Lassa Fever - Nigeria,1/27/2016,https://www.who.int/emergencies/disease-outbreak-news/item/27-january-2016-lassa-fever-nigeria-en/,Lassa fever,,Nigeria,"Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Train workforce in clinical care and case management practices,WHO/WOAH notification",""" The National IHR Focal Point of Nigeria has notified WHO of different outbreaks of Lassa fever occurring in the country. "" = notification of IHR event

""The WHO country office is supporting the Federal Ministry of Health (MoH) "" = coordinate response with international partners -- don't see national response across sectors though

""Samples of 54 cases, including 34 deaths, were confirmed for Lassa fever by reverse transcription polymerase-chain reaction (RT-PCR). "" = confirm diagnoses

""Samples of 54 cases, including 34 deaths, were confirmed for Lassa fever by reverse transcription polymerase-chain reaction (RT-PCR). All samples tested negative for Ebola virus disease, Dengue and yellow fever. "" = form differential diagnoses because they're confirming lassa and ruling out others?
","Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Train workforce in clinical care and case management practices,WHO/WOAH notification",Revisit GOAL training language,checked,DON-2016-01-27-a,"RK: no on differential diagnosis

DR no
","Collect biological and environmental samples,Complete descriptive analysis of outbreak,Conduct disease surveillance,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Monitor and manage suspected cases,Notification of International Health Regulation (IHR) event,Perform contact tracing activities,Train workforce in clinical care and case management practices,WHO/WOAH notification","Collect biological and environmental samples, Complete descriptive analysis of outbreak, Conduct disease surveillance, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Identify agent based on laboratory testing, Implement infection prevention and control (IPC) measures, Initiate epidemiological investigation, Monitor and manage suspected cases, Notification of International Health Regulation (IHR) event, Perform contact tracing activities, Train workforce in clinical care and case management practices, WHO/WOAH notification"
290,Human infection with avian influenza A(H7N9) virus - China,2/25/2016,https://www.who.int/emergencies/disease-outbreak-news/item/25-february-2016-avian-influenza-china-en/,Influenza A,H7N9,China,"Collect biological and environmental samples,Collect case patient information,Conduct risk assessment,Confirm diagnoses,Coordinate national response across sectors,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","""During his stay in Suzhou, the patient visited a wet market but denied having any direct contact with poultry during the incubation period"" = interview case

""Hong Kong Special Administrative Region (SAR) notified WHO "" = WHO notification

No mention of China specifically implementing IPC, but WHO recommends","Collect biological and environmental samples,Collect case patient information,Conduct risk assessment,Confirm diagnoses,Coordinate national response across sectors,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification",,,DON-2016-02-25-a,,"Collect biological and environmental samples,Collect case patient information,Conduct risk assessment,Confirm diagnoses,Coordinate national response across sectors,Develop hypothesis to explain specific exposure that caused disease,Identify agent based on laboratory testing,Identify and interview initial case(s),Initiate epidemiological investigation,Perform contact tracing activities,Provide clinical care,WHO/WOAH notification","Collect biological and environmental samples, Collect case patient information, Conduct risk assessment, Confirm diagnoses, Coordinate national response across sectors, Develop hypothesis to explain specific exposure that caused disease, Identify agent based on laboratory testing, Identify and interview initial case(s), Initiate epidemiological investigation, Perform contact tracing activities, Provide clinical care, WHO/WOAH notification"
