,Act1,Act2,counts
6304,Manage clinical data,Engage in ongoing dialogue with community,0.0
6305,Manage clinical data,Identify at risk population,0.0
6306,Manage clinical data,Integrate and analyze surveillance data,0.0
6307,Manage clinical data,Consider issuing trade restrictions,0.0
6308,Manage clinical data,Staff isolation facilities,0.0
6309,Manage clinical data,Confirm diagnoses,1.0
6310,Manage clinical data,Genetically sequence samples,0.0
6311,Manage clinical data,Compensate impacted populations,0.0
6312,Manage clinical data,Develop SOPs for burials,0.0
6313,Manage clinical data,Perform contact tracing activities,2.0
6314,Manage clinical data,Identify vulnerable populations,0.0
6315,Manage clinical data,Form differential diagnosis,0.0
6316,Manage clinical data,Assessment of surveillance systems,0.0
6317,Manage clinical data,Provide shelter for displaced populations,0.0
6318,Manage clinical data,"""Dispose of animal carcasses, litter, and animal products""",0.0
6319,Manage clinical data,Manage supply chain for consumable medical equipment,0.0
6320,Manage clinical data,Mobilize and train volunteers,0.0
6321,Manage clinical data,Determine mode of transmission,0.0
6322,Manage clinical data,Plan systematic study,0.0
6323,Manage clinical data,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6324,Manage clinical data,Coordinate with security sector and law enforcement,0.0
6325,Manage clinical data,Initiate attribution investigation,0.0
6326,Manage clinical data,Acquire road transportation vehicles,1.0
6327,Manage clinical data,Carry out screening/testing activities,1.0
6328,Manage clinical data,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6329,Manage clinical data,Procure diagnostics and laboratory testing material,0.0
6330,Manage clinical data,Transport samples domestically,0.0
6331,Manage clinical data,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
6332,Manage clinical data,Share information and key messages with the public,1.0
6333,Manage clinical data,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6334,Manage clinical data,Monitor and manage suspected cases,1.0
6335,Manage clinical data,Collect and manage data on security-related threats and events,0.0
6336,Manage clinical data,Share genetic sequence data with international community,0.0
6337,Manage clinical data,Conduct risk assessment,1.0
6338,Manage clinical data,Promote good hygiene practices,0.0
6339,Manage clinical data,Count deaths,2.0
6340,Manage clinical data,Transport or evacuate patients,0.0
6341,Manage clinical data,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6342,Manage clinical data,Develop or update instruments governing public health surveillance and response,0.0
6343,Manage clinical data,Explore fundraising options,0.0
6344,Manage clinical data,Develop hypothesis to explain specific exposure that caused disease,0.0
6345,Manage clinical data,Consider enforcing physical distancing measures of infectious patients,1.0
6346,Manage clinical data,Perform active case finding,0.0
6347,Manage clinical data,Initiate immunization campaign,0.0
6348,Manage clinical data,Conduct and assess statistical analysis,0.0
6349,Manage clinical data,Identify and train local spokespersons,0.0
6350,Manage clinical data,Determine the existence of an outbreak,0.0
6351,Manage clinical data,Empower community to make decisions and implement and manage change,0.0
6352,Manage clinical data,Integrate humanitarian risk and public health data,0.0
6353,Manage clinical data,Assess impacts to local banks and economic systems,0.0
6354,Manage clinical data,Collect case patient information,1.0
6355,Manage clinical data,Provide medical countermeasures (MCMs),0.0
6356,Manage clinical data,Publish and share data,0.0
6357,Manage clinical data,Humanely destroy all infected and exposed animals,0.0
6358,Manage clinical data,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
6359,Manage clinical data,Identify agent based on laboratory testing,1.0
6360,Manage clinical data,Initiate medical response,0.0
6361,Manage clinical data,Diagnose cases,0.0
6362,Manage clinical data,Manage potential clashes in national policy,0.0
6363,Train contact tracers,Train community on surveillance and/or contact tracing,0.0
6364,Train contact tracers,Identify reporting lines,0.0
6365,Train contact tracers,Complete public health needs assessment,0.0
6366,Train contact tracers,Document and communicate the results of epidemiological investigation,0.0
6367,Train contact tracers,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
6368,Train contact tracers,Activate emergency operations center (EOC),0.0
6369,Train contact tracers,Provide clean water,0.0
6370,Train contact tracers,Provide mental health and counseling services,0.0
6371,Train contact tracers,Deactivate emergency operations center (EOC),0.0
6372,Train contact tracers,Notification of International Health Regulation (IHR) event,1.0
6373,Train contact tracers,Engage in ongoing dialogue with community,0.0
6374,Train contact tracers,Identify at risk population,0.0
6375,Train contact tracers,Integrate and analyze surveillance data,0.0
6376,Train contact tracers,Consider issuing trade restrictions,0.0
6377,Train contact tracers,Staff isolation facilities,0.0
6378,Train contact tracers,Confirm diagnoses,1.0
6379,Train contact tracers,Genetically sequence samples,0.0
6380,Train contact tracers,Compensate impacted populations,0.0
6381,Train contact tracers,Develop SOPs for burials,1.0
6382,Train contact tracers,Perform contact tracing activities,1.0
6383,Train contact tracers,Identify vulnerable populations,0.0
6384,Train contact tracers,Form differential diagnosis,0.0
6385,Train contact tracers,Assessment of surveillance systems,0.0
6386,Train contact tracers,Provide shelter for displaced populations,0.0
6387,Train contact tracers,"""Dispose of animal carcasses, litter, and animal products""",0.0
6388,Train contact tracers,Manage supply chain for consumable medical equipment,0.0
6389,Train contact tracers,Mobilize and train volunteers,0.0
6390,Train contact tracers,Determine mode of transmission,0.0
6391,Train contact tracers,Plan systematic study,0.0
6392,Train contact tracers,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6393,Train contact tracers,Coordinate with security sector and law enforcement,0.0
6394,Train contact tracers,Initiate attribution investigation,0.0
6395,Train contact tracers,Acquire road transportation vehicles,0.0
6396,Train contact tracers,Carry out screening/testing activities,0.0
6397,Train contact tracers,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6398,Train contact tracers,Procure diagnostics and laboratory testing material,0.0
6399,Train contact tracers,Transport samples domestically,0.0
6400,Train contact tracers,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",1.0
6401,Train contact tracers,Share information and key messages with the public,1.0
6402,Train contact tracers,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6403,Train contact tracers,Monitor and manage suspected cases,1.0
6404,Train contact tracers,Collect and manage data on security-related threats and events,0.0
6405,Train contact tracers,Share genetic sequence data with international community,0.0
6406,Train contact tracers,Conduct risk assessment,1.0
6407,Train contact tracers,Promote good hygiene practices,0.0
6408,Train contact tracers,Count deaths,1.0
6409,Train contact tracers,Transport or evacuate patients,0.0
6410,Train contact tracers,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6411,Train contact tracers,Develop or update instruments governing public health surveillance and response,0.0
6412,Train contact tracers,Explore fundraising options,0.0
6413,Train contact tracers,Develop hypothesis to explain specific exposure that caused disease,0.0
6414,Train contact tracers,Consider enforcing physical distancing measures of infectious patients,0.0
6415,Train contact tracers,Perform active case finding,0.0
6416,Train contact tracers,Initiate immunization campaign,0.0
6417,Train contact tracers,Conduct and assess statistical analysis,0.0
6418,Train contact tracers,Identify and train local spokespersons,0.0
6419,Train contact tracers,Determine the existence of an outbreak,0.0
6420,Train contact tracers,Empower community to make decisions and implement and manage change,0.0
6421,Train contact tracers,Integrate humanitarian risk and public health data,0.0
6422,Train contact tracers,Assess impacts to local banks and economic systems,0.0
6423,Train contact tracers,Collect case patient information,0.0
6424,Train contact tracers,Provide medical countermeasures (MCMs),0.0
6425,Train contact tracers,Publish and share data,0.0
6426,Train contact tracers,Humanely destroy all infected and exposed animals,0.0
6427,Train contact tracers,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
6428,Train contact tracers,Identify agent based on laboratory testing,1.0
6429,Train contact tracers,Initiate medical response,0.0
6430,Train contact tracers,Diagnose cases,0.0
6431,Train contact tracers,Manage potential clashes in national policy,0.0
6432,Train community on surveillance and/or contact tracing,Identify reporting lines,0.0
6433,Train community on surveillance and/or contact tracing,Complete public health needs assessment,1.0
6434,Train community on surveillance and/or contact tracing,Document and communicate the results of epidemiological investigation,0.0
6435,Train community on surveillance and/or contact tracing,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
6436,Train community on surveillance and/or contact tracing,Activate emergency operations center (EOC),1.0
6437,Train community on surveillance and/or contact tracing,Provide clean water,0.0
6438,Train community on surveillance and/or contact tracing,Provide mental health and counseling services,1.0
6439,Train community on surveillance and/or contact tracing,Deactivate emergency operations center (EOC),0.0
6440,Train community on surveillance and/or contact tracing,Notification of International Health Regulation (IHR) event,0.0
6441,Train community on surveillance and/or contact tracing,Engage in ongoing dialogue with community,0.0
6442,Train community on surveillance and/or contact tracing,Identify at risk population,0.0
6443,Train community on surveillance and/or contact tracing,Integrate and analyze surveillance data,0.0
6444,Train community on surveillance and/or contact tracing,Consider issuing trade restrictions,0.0
6445,Train community on surveillance and/or contact tracing,Staff isolation facilities,0.0
6446,Train community on surveillance and/or contact tracing,Confirm diagnoses,3.0
6447,Train community on surveillance and/or contact tracing,Genetically sequence samples,0.0
6448,Train community on surveillance and/or contact tracing,Compensate impacted populations,1.0
6449,Train community on surveillance and/or contact tracing,Develop SOPs for burials,0.0
6450,Train community on surveillance and/or contact tracing,Perform contact tracing activities,2.0
6451,Train community on surveillance and/or contact tracing,Identify vulnerable populations,0.0
6452,Train community on surveillance and/or contact tracing,Form differential diagnosis,0.0
6453,Train community on surveillance and/or contact tracing,Assessment of surveillance systems,0.0
6454,Train community on surveillance and/or contact tracing,Provide shelter for displaced populations,0.0
6455,Train community on surveillance and/or contact tracing,"""Dispose of animal carcasses, litter, and animal products""",0.0
6456,Train community on surveillance and/or contact tracing,Manage supply chain for consumable medical equipment,0.0
6457,Train community on surveillance and/or contact tracing,Mobilize and train volunteers,1.0
6458,Train community on surveillance and/or contact tracing,Determine mode of transmission,1.0
6459,Train community on surveillance and/or contact tracing,Plan systematic study,0.0
6460,Train community on surveillance and/or contact tracing,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6461,Train community on surveillance and/or contact tracing,Coordinate with security sector and law enforcement,0.0
6462,Train community on surveillance and/or contact tracing,Initiate attribution investigation,0.0
6463,Train community on surveillance and/or contact tracing,Acquire road transportation vehicles,0.0
6464,Train community on surveillance and/or contact tracing,Carry out screening/testing activities,0.0
6465,Train community on surveillance and/or contact tracing,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6466,Train community on surveillance and/or contact tracing,Procure diagnostics and laboratory testing material,0.0
6467,Train community on surveillance and/or contact tracing,Transport samples domestically,0.0
6468,Train community on surveillance and/or contact tracing,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",1.0
6469,Train community on surveillance and/or contact tracing,Share information and key messages with the public,2.0
6470,Train community on surveillance and/or contact tracing,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6471,Train community on surveillance and/or contact tracing,Monitor and manage suspected cases,2.0
6472,Train community on surveillance and/or contact tracing,Collect and manage data on security-related threats and events,0.0
6473,Train community on surveillance and/or contact tracing,Share genetic sequence data with international community,0.0
6474,Train community on surveillance and/or contact tracing,Conduct risk assessment,0.0
6475,Train community on surveillance and/or contact tracing,Promote good hygiene practices,0.0
6476,Train community on surveillance and/or contact tracing,Count deaths,3.0
6477,Train community on surveillance and/or contact tracing,Transport or evacuate patients,0.0
6478,Train community on surveillance and/or contact tracing,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6479,Train community on surveillance and/or contact tracing,Develop or update instruments governing public health surveillance and response,0.0
6480,Train community on surveillance and/or contact tracing,Explore fundraising options,0.0
6481,Train community on surveillance and/or contact tracing,Develop hypothesis to explain specific exposure that caused disease,0.0
6482,Train community on surveillance and/or contact tracing,Consider enforcing physical distancing measures of infectious patients,0.0
6483,Train community on surveillance and/or contact tracing,Perform active case finding,0.0
6484,Train community on surveillance and/or contact tracing,Initiate immunization campaign,0.0
6485,Train community on surveillance and/or contact tracing,Conduct and assess statistical analysis,0.0
6486,Train community on surveillance and/or contact tracing,Identify and train local spokespersons,1.0
6487,Train community on surveillance and/or contact tracing,Determine the existence of an outbreak,0.0
6488,Train community on surveillance and/or contact tracing,Empower community to make decisions and implement and manage change,0.0
6489,Train community on surveillance and/or contact tracing,Integrate humanitarian risk and public health data,0.0
6490,Train community on surveillance and/or contact tracing,Assess impacts to local banks and economic systems,0.0
6491,Train community on surveillance and/or contact tracing,Collect case patient information,1.0
6492,Train community on surveillance and/or contact tracing,Provide medical countermeasures (MCMs),0.0
6493,Train community on surveillance and/or contact tracing,Publish and share data,0.0
6494,Train community on surveillance and/or contact tracing,Humanely destroy all infected and exposed animals,0.0
6495,Train community on surveillance and/or contact tracing,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
6496,Train community on surveillance and/or contact tracing,Identify agent based on laboratory testing,2.0
6497,Train community on surveillance and/or contact tracing,Initiate medical response,1.0
6498,Train community on surveillance and/or contact tracing,Diagnose cases,1.0
6499,Train community on surveillance and/or contact tracing,Manage potential clashes in national policy,0.0
6500,Identify reporting lines,Complete public health needs assessment,0.0
6501,Identify reporting lines,Document and communicate the results of epidemiological investigation,0.0
6502,Identify reporting lines,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
6503,Identify reporting lines,Activate emergency operations center (EOC),0.0
6504,Identify reporting lines,Provide clean water,0.0
6505,Identify reporting lines,Provide mental health and counseling services,0.0
6506,Identify reporting lines,Deactivate emergency operations center (EOC),0.0
6507,Identify reporting lines,Notification of International Health Regulation (IHR) event,0.0
6508,Identify reporting lines,Engage in ongoing dialogue with community,0.0
6509,Identify reporting lines,Identify at risk population,1.0
6510,Identify reporting lines,Integrate and analyze surveillance data,0.0
6511,Identify reporting lines,Consider issuing trade restrictions,1.0
6512,Identify reporting lines,Staff isolation facilities,0.0
6513,Identify reporting lines,Confirm diagnoses,2.0
6514,Identify reporting lines,Genetically sequence samples,2.0
6515,Identify reporting lines,Compensate impacted populations,0.0
6516,Identify reporting lines,Develop SOPs for burials,0.0
6517,Identify reporting lines,Perform contact tracing activities,0.0
6518,Identify reporting lines,Identify vulnerable populations,0.0
6519,Identify reporting lines,Form differential diagnosis,0.0
6520,Identify reporting lines,Assessment of surveillance systems,0.0
6521,Identify reporting lines,Provide shelter for displaced populations,0.0
6522,Identify reporting lines,"""Dispose of animal carcasses, litter, and animal products""",0.0
6523,Identify reporting lines,Manage supply chain for consumable medical equipment,1.0
6524,Identify reporting lines,Mobilize and train volunteers,0.0
6525,Identify reporting lines,Determine mode of transmission,0.0
6526,Identify reporting lines,Plan systematic study,0.0
6527,Identify reporting lines,"""Test for antiviral, antibiotic, and/or vaccine resistance""",1.0
6528,Identify reporting lines,Coordinate with security sector and law enforcement,0.0
6529,Identify reporting lines,Initiate attribution investigation,0.0
6530,Identify reporting lines,Acquire road transportation vehicles,0.0
6531,Identify reporting lines,Carry out screening/testing activities,1.0
6532,Identify reporting lines,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6533,Identify reporting lines,Procure diagnostics and laboratory testing material,0.0
6534,Identify reporting lines,Transport samples domestically,0.0
6535,Identify reporting lines,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
6536,Identify reporting lines,Share information and key messages with the public,1.0
6537,Identify reporting lines,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6538,Identify reporting lines,Monitor and manage suspected cases,1.0
6539,Identify reporting lines,Collect and manage data on security-related threats and events,0.0
6540,Identify reporting lines,Share genetic sequence data with international community,0.0
6541,Identify reporting lines,Conduct risk assessment,1.0
6542,Identify reporting lines,Promote good hygiene practices,1.0
6543,Identify reporting lines,Count deaths,2.0
6544,Identify reporting lines,Transport or evacuate patients,0.0
6545,Identify reporting lines,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6546,Identify reporting lines,Develop or update instruments governing public health surveillance and response,0.0
6547,Identify reporting lines,Explore fundraising options,0.0
6548,Identify reporting lines,Develop hypothesis to explain specific exposure that caused disease,1.0
6549,Identify reporting lines,Consider enforcing physical distancing measures of infectious patients,0.0
6550,Identify reporting lines,Perform active case finding,0.0
6551,Identify reporting lines,Initiate immunization campaign,0.0
6552,Identify reporting lines,Conduct and assess statistical analysis,1.0
6553,Identify reporting lines,Identify and train local spokespersons,0.0
6554,Identify reporting lines,Determine the existence of an outbreak,0.0
6555,Identify reporting lines,Empower community to make decisions and implement and manage change,0.0
6556,Identify reporting lines,Integrate humanitarian risk and public health data,0.0
6557,Identify reporting lines,Assess impacts to local banks and economic systems,0.0
6558,Identify reporting lines,Collect case patient information,0.0
6559,Identify reporting lines,Provide medical countermeasures (MCMs),0.0
6560,Identify reporting lines,Publish and share data,0.0
6561,Identify reporting lines,Humanely destroy all infected and exposed animals,0.0
6562,Identify reporting lines,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
6563,Identify reporting lines,Identify agent based on laboratory testing,2.0
6564,Identify reporting lines,Initiate medical response,0.0
6565,Identify reporting lines,Diagnose cases,0.0
6566,Identify reporting lines,Manage potential clashes in national policy,1.0
6567,Complete public health needs assessment,Document and communicate the results of epidemiological investigation,0.0
6568,Complete public health needs assessment,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",1.0
6569,Complete public health needs assessment,Activate emergency operations center (EOC),2.0
6570,Complete public health needs assessment,Provide clean water,1.0
6571,Complete public health needs assessment,Provide mental health and counseling services,0.0
6572,Complete public health needs assessment,Deactivate emergency operations center (EOC),0.0
6573,Complete public health needs assessment,Notification of International Health Regulation (IHR) event,0.0
6574,Complete public health needs assessment,Engage in ongoing dialogue with community,0.0
6575,Complete public health needs assessment,Identify at risk population,0.0
6576,Complete public health needs assessment,Integrate and analyze surveillance data,0.0
6577,Complete public health needs assessment,Consider issuing trade restrictions,0.0
6578,Complete public health needs assessment,Staff isolation facilities,0.0
6579,Complete public health needs assessment,Confirm diagnoses,2.0
6580,Complete public health needs assessment,Genetically sequence samples,0.0
6581,Complete public health needs assessment,Compensate impacted populations,1.0
6582,Complete public health needs assessment,Develop SOPs for burials,0.0
6583,Complete public health needs assessment,Perform contact tracing activities,1.0
6584,Complete public health needs assessment,Identify vulnerable populations,0.0
6585,Complete public health needs assessment,Form differential diagnosis,0.0
6586,Complete public health needs assessment,Assessment of surveillance systems,0.0
6587,Complete public health needs assessment,Provide shelter for displaced populations,0.0
6588,Complete public health needs assessment,"""Dispose of animal carcasses, litter, and animal products""",0.0
6589,Complete public health needs assessment,Manage supply chain for consumable medical equipment,0.0
6590,Complete public health needs assessment,Mobilize and train volunteers,0.0
6591,Complete public health needs assessment,Determine mode of transmission,0.0
6592,Complete public health needs assessment,Plan systematic study,0.0
6593,Complete public health needs assessment,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6594,Complete public health needs assessment,Coordinate with security sector and law enforcement,0.0
6595,Complete public health needs assessment,Initiate attribution investigation,0.0
6596,Complete public health needs assessment,Acquire road transportation vehicles,0.0
6597,Complete public health needs assessment,Carry out screening/testing activities,0.0
6598,Complete public health needs assessment,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6599,Complete public health needs assessment,Procure diagnostics and laboratory testing material,0.0
6600,Complete public health needs assessment,Transport samples domestically,0.0
6601,Complete public health needs assessment,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
6602,Complete public health needs assessment,Share information and key messages with the public,1.0
6603,Complete public health needs assessment,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6604,Complete public health needs assessment,Monitor and manage suspected cases,1.0
6605,Complete public health needs assessment,Collect and manage data on security-related threats and events,0.0
6606,Complete public health needs assessment,Share genetic sequence data with international community,0.0
6607,Complete public health needs assessment,Conduct risk assessment,0.0
6608,Complete public health needs assessment,Promote good hygiene practices,0.0
6609,Complete public health needs assessment,Count deaths,3.0
6610,Complete public health needs assessment,Transport or evacuate patients,0.0
6611,Complete public health needs assessment,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6612,Complete public health needs assessment,Develop or update instruments governing public health surveillance and response,0.0
6613,Complete public health needs assessment,Explore fundraising options,0.0
6614,Complete public health needs assessment,Develop hypothesis to explain specific exposure that caused disease,0.0
6615,Complete public health needs assessment,Consider enforcing physical distancing measures of infectious patients,0.0
6616,Complete public health needs assessment,Perform active case finding,0.0
6617,Complete public health needs assessment,Initiate immunization campaign,0.0
6618,Complete public health needs assessment,Conduct and assess statistical analysis,0.0
6619,Complete public health needs assessment,Identify and train local spokespersons,0.0
6620,Complete public health needs assessment,Determine the existence of an outbreak,0.0
6621,Complete public health needs assessment,Empower community to make decisions and implement and manage change,1.0
6622,Complete public health needs assessment,Integrate humanitarian risk and public health data,0.0
6623,Complete public health needs assessment,Assess impacts to local banks and economic systems,0.0
6624,Complete public health needs assessment,Collect case patient information,1.0
6625,Complete public health needs assessment,Provide medical countermeasures (MCMs),0.0
6626,Complete public health needs assessment,Publish and share data,0.0
6627,Complete public health needs assessment,Humanely destroy all infected and exposed animals,0.0
6628,Complete public health needs assessment,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",1.0
6629,Complete public health needs assessment,Identify agent based on laboratory testing,3.0
6630,Complete public health needs assessment,Initiate medical response,2.0
6631,Complete public health needs assessment,Diagnose cases,1.0
6632,Complete public health needs assessment,Manage potential clashes in national policy,0.0
6633,Document and communicate the results of epidemiological investigation,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
6634,Document and communicate the results of epidemiological investigation,Activate emergency operations center (EOC),0.0
6635,Document and communicate the results of epidemiological investigation,Provide clean water,0.0
6636,Document and communicate the results of epidemiological investigation,Provide mental health and counseling services,0.0
6637,Document and communicate the results of epidemiological investigation,Deactivate emergency operations center (EOC),0.0
6638,Document and communicate the results of epidemiological investigation,Notification of International Health Regulation (IHR) event,3.0
6639,Document and communicate the results of epidemiological investigation,Engage in ongoing dialogue with community,0.0
6640,Document and communicate the results of epidemiological investigation,Identify at risk population,0.0
6641,Document and communicate the results of epidemiological investigation,Integrate and analyze surveillance data,0.0
6642,Document and communicate the results of epidemiological investigation,Consider issuing trade restrictions,0.0
6643,Document and communicate the results of epidemiological investigation,Staff isolation facilities,0.0
6644,Document and communicate the results of epidemiological investigation,Confirm diagnoses,5.0
6645,Document and communicate the results of epidemiological investigation,Genetically sequence samples,1.0
6646,Document and communicate the results of epidemiological investigation,Compensate impacted populations,0.0
6647,Document and communicate the results of epidemiological investigation,Develop SOPs for burials,0.0
6648,Document and communicate the results of epidemiological investigation,Perform contact tracing activities,4.0
6649,Document and communicate the results of epidemiological investigation,Identify vulnerable populations,0.0
6650,Document and communicate the results of epidemiological investigation,Form differential diagnosis,0.0
6651,Document and communicate the results of epidemiological investigation,Assessment of surveillance systems,0.0
6652,Document and communicate the results of epidemiological investigation,Provide shelter for displaced populations,0.0
6653,Document and communicate the results of epidemiological investigation,"""Dispose of animal carcasses, litter, and animal products""",0.0
6654,Document and communicate the results of epidemiological investigation,Manage supply chain for consumable medical equipment,0.0
6655,Document and communicate the results of epidemiological investigation,Mobilize and train volunteers,0.0
6656,Document and communicate the results of epidemiological investigation,Determine mode of transmission,0.0
6657,Document and communicate the results of epidemiological investigation,Plan systematic study,0.0
6658,Document and communicate the results of epidemiological investigation,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
6659,Document and communicate the results of epidemiological investigation,Coordinate with security sector and law enforcement,1.0
6660,Document and communicate the results of epidemiological investigation,Initiate attribution investigation,0.0
6661,Document and communicate the results of epidemiological investigation,Acquire road transportation vehicles,0.0
6662,Document and communicate the results of epidemiological investigation,Carry out screening/testing activities,0.0
6663,Document and communicate the results of epidemiological investigation,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
6664,Document and communicate the results of epidemiological investigation,Procure diagnostics and laboratory testing material,0.0
6665,Document and communicate the results of epidemiological investigation,Transport samples domestically,0.0
6666,Document and communicate the results of epidemiological investigation,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
6667,Document and communicate the results of epidemiological investigation,Share information and key messages with the public,4.0
6668,Document and communicate the results of epidemiological investigation,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
6669,Document and communicate the results of epidemiological investigation,Monitor and manage suspected cases,2.0
6670,Document and communicate the results of epidemiological investigation,Collect and manage data on security-related threats and events,0.0
6671,Document and communicate the results of epidemiological investigation,Share genetic sequence data with international community,0.0
6672,Document and communicate the results of epidemiological investigation,Conduct risk assessment,4.0
6673,Document and communicate the results of epidemiological investigation,Promote good hygiene practices,1.0
6674,Document and communicate the results of epidemiological investigation,Count deaths,2.0
6675,Document and communicate the results of epidemiological investigation,Transport or evacuate patients,1.0
6676,Document and communicate the results of epidemiological investigation,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
6677,Document and communicate the results of epidemiological investigation,Develop or update instruments governing public health surveillance and response,0.0
6678,Document and communicate the results of epidemiological investigation,Explore fundraising options,0.0
6679,Document and communicate the results of epidemiological investigation,Develop hypothesis to explain specific exposure that caused disease,4.0
6680,Document and communicate the results of epidemiological investigation,Consider enforcing physical distancing measures of infectious patients,1.0
6681,Document and communicate the results of epidemiological investigation,Perform active case finding,0.0
6682,Document and communicate the results of epidemiological investigation,Initiate immunization campaign,0.0
6683,Document and communicate the results of epidemiological investigation,Conduct and assess statistical analysis,1.0
6684,Document and communicate the results of epidemiological investigation,Identify and train local spokespersons,0.0
6685,Document and communicate the results of epidemiological investigation,Determine the existence of an outbreak,0.0
6686,Document and communicate the results of epidemiological investigation,Empower community to make decisions and implement and manage change,0.0
6687,Document and communicate the results of epidemiological investigation,Integrate humanitarian risk and public health data,0.0
6688,Document and communicate the results of epidemiological investigation,Assess impacts to local banks and economic systems,0.0
6689,Document and communicate the results of epidemiological investigation,Collect case patient information,4.0
6690,Document and communicate the results of epidemiological investigation,Provide medical countermeasures (MCMs),0.0
6691,Document and communicate the results of epidemiological investigation,Publish and share data,0.0
6692,Document and communicate the results of epidemiological investigation,Humanely destroy all infected and exposed animals,0.0
6693,Document and communicate the results of epidemiological investigation,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
6694,Document and communicate the results of epidemiological investigation,Identify agent based on laboratory testing,5.0
6695,Document and communicate the results of epidemiological investigation,Initiate medical response,0.0
6696,Document and communicate the results of epidemiological investigation,Diagnose cases,0.0
6697,Document and communicate the results of epidemiological investigation,Manage potential clashes in national policy,0.0
6698,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Activate emergency operations center (EOC),1.0
6699,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Provide clean water,2.0
6700,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Provide mental health and counseling services,0.0
6701,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Deactivate emergency operations center (EOC),0.0
6702,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Notification of International Health Regulation (IHR) event,0.0
6703,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Engage in ongoing dialogue with community,0.0
6704,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Identify at risk population,1.0
6705,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Integrate and analyze surveillance data,0.0
6706,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Consider issuing trade restrictions,0.0
6707,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Staff isolation facilities,0.0
6708,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Confirm diagnoses,2.0
6709,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Genetically sequence samples,0.0
6710,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Compensate impacted populations,0.0
6711,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Develop SOPs for burials,0.0
6712,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Perform contact tracing activities,1.0
6713,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Identify vulnerable populations,0.0
6714,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",Form differential diagnosis,0.0
