Activity,Function,Category,Phases,Description
Provide technical assistance,,,,
Provide telecommunications resources and communication networks to workforce,Logistics and supply chain,Logistics & support,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Publish and share data,"Epidemiological investigation, Data management","Epidemiology & lab analysis, Governance & coordination","Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>While an outbreak is ongoing, health officials should summarize findings of the investigation to date and disseminate these findings to all agencies and ministries involved in the response, as well as to the international community as appropriate per World Health Organization (WHO) guidelines. Rapid sharing of data and information can help inform all stakeholders about new outbreak developments, and speed the identification implementation of appropriate mitigation measures.</p><p>The development of protocols for sharing epidemiological data helps provide advance clarity on expected methods for the timely sharing of data to and from public and private institutions. Countries should develop protocols in advance for how these kinds of data and information will be summarized and by what channels they will be shared with designated recipients. The WHO describes three kinds of data that are typically provided to the WHO; the same information can and should be shared with national and sub-national partners as well:<sup class=""footnote"" data-id=""1"">1</sup></p><p><ul><li><strong>Surveillance, epidemiology, and emergency response</strong>. Written summaries of surveillance and epidemiology findings provided to a country’s stakeholders (from local responders to national government) enable all parties to work from the same basis of information, enabling a more coordinated, multi-sectoral response. At the international level, notification requirements of the International Health Regulations (IHR) (2005) are based on the identification within a States Party territory of a Public Health Emergency of International Concern (PHEIC); the goal is to capture any novel or evolving risk to international public health.<sup class=""footnote"" data-id=""2"">2</sup> </li> <li><strong>Genetic sequence data/information</strong>. Sharing of sequence data allows improved tracking of epidemics and aids in the development of diagnostic tests, treatments, and vaccines. WHO asks that genome sequences be made publicly available as quickly as possible through relevant databases, and that benefits arising from the use of those sequences be shared equitably with the country from where the pathogen genome sequence originates. </li> <li><strong>Observational studies and clinical trials</strong>. Stakeholders should be informed of any relevant studies and trials being carried out and when results are expected. Once data are available and able to be shared, those carrying out such studies should work with researchers, funders, and journals to ensure preliminary and final results are quickly made available. It is WHO policy that all interventional clinical trials be prospectively registered in a primary clinical trials registry.</li></ul></p><p>Ultimately, outbreak data should be published in peer reviewed manuscripts to contribute to the broader scientific understanding of the pathogen or disease process. It is becoming more commonplace for authors or journals to publish such pieces as “pre-prints,” which are articles that have not yet completed peer review and other elements of the formal publication process. This became very common practice during COVID-19 to ensure that the scientific and decision-making communities were kept as up to date as possible. This approach is not without tradeoffs, as the information presented may not be accurate or complete, but is a consideration when time is of the essence.</p>"
Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,Animal health,Healthcare & IPC,"Detection, Early response, Intervention, Post-intervention & recovery","<p>In the event of an outbreak of an infectious disease in animals, restricting the translocation of individual animals, animal populations, and personnel and equipment that have come into contact with them may help contain the spread of the infection. In the case of a zoonosis, it can also protect the public health. Such efforts are often essential to eradication efforts and to post-outbreak recovery.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Quarantine refers to the imposition of stringent restrictions on animals entering or leaving a premises, area, or region <em>where disease is known to exist or is suspected</em> ; and movement control refers to controlling the movement of animals, animal products, and fomites <em>from non-infected premises</em> .<sup class=""footnote"" data-id=""2"">2</sup> They are often implemented together. Implementing quarantine and movement control during an outbreak will most often apply to livestock outbreaks, but may also at times apply to companion animals (such as dogs or cats) and wildlife depending on the species impacted. Key elements of international/cross-border quarantine implementation include:<sup class=""footnote"" data-id=""3"">3</sup><sup>,</sup><sup class=""footnote"" data-id=""4"">4</sup></p><p><ul><li>International border controls to prevent the smuggling or uncontrolled entry of animals, animal products, while also providing a legal method for entry through sound animal health certification;</li> <li>Import quarantine, the conditions of which should be negotiated with exporting countries;</li> <li>Inspection of people and goods arriving at international airports and seaports; and</li> <li>Safe disposal of international aircraft and ship food waste.</li></ul></p><p>National, sub-national, and local restrictions will also be key to preventing disease spread within a country. This may involve quarantine of individual premises or the creation of an area or regional quarantine (control area); consideration must be given to legal authorities, communication strategies, and criteria for releasing the quarantine.<sup class=""footnote"" data-id=""5"">5</sup> Movement control procedures will have similar considerations and must take into account ways to enforce the regulations.</p>"
Remove implicated foods from market,Food safety,Healthcare & IPC,"Early response, Intervention, Post-intervention & recovery","<p>The Codex Alimentarius defines a food emergency as a situation, whether accidental or intentional, that is identified “as constituting a serious and as yet uncontrolled foodborne risk to public health that requires urgent action.”<sup class=""footnote"" data-id=""1"">1</sup> A food safety issue can be identified by a variety of information sources, such as the food industry itself, trading partners, laboratory reports, public health surveillance, hospital admission reports, and others.<sup class=""footnote"" data-id=""2"">2</sup> This detection step is important and is addressed via other activities in this database. [TAG]</p><p>Once a food safety issue has been identified, it may be necessary to remove implicated foods and other food products (like bulk ingredients used in processing marketed foods) from the supply chain. This is often referred to as “food recall,” although related activities and alternative terminology includes food seizure and food withdrawal.</p><p><strong><em>Food recall</em></strong> <em>: The action to remove food from the market at any stage of the food chain, including that possessed by consumers.<sup class=""footnote"" data-id=""3"">3</sup> </em></p><p>Such recalls can protect public health by ensuring the rapid removal of unsafe food from the supply chain, destroying or reprocessing it, and keeping consumers informed. The U.N. Food and Agriculture Organization and the World Health Organization have developed joint guidance for improving national recall systems.<sup class=""footnote"" data-id=""4"">4</sup> Food recall systems require a legal framework, and empowered competent authority, and clearly defined roles and responsibilities. With these and other elements in place <em>in advance</em> , authorities will have the necessary tools to remove implicated foods from market.</p><p>The U.N. Food and Agriculture Organization and the World Health Organization have also developed joint guidance for developing overall national food safety emergency response plans, an effort that should be undertaken in advance of any such emergency.<sup class=""footnote"" data-id=""5"">5</sup> Having these plans in place helps create a support structure that allows decisions about recall to be made in sequence, based on evidence and assessed risk, and in consultation with appropriate partners.</p><p>Two useful resources for food safety planning and execution are:</p><p><ul><li>The Emergency Prevention System for Food Safety (EMPRES Food Safety) is a unit within the FAO that works with partners on the prevention and control of food safety incidents.<sup class=""footnote"" data-id=""6"">6</sup></li> <li>The International Food Safety Authorities Network (INFOSAN) is a global network managed by FAO/WHO that shared information and helps both government and industry to recall contaminated food that has been distributed internationally.<sup class=""footnote"" data-id=""7"">7</sup> </li></ul></p>"
"Request financial resources from global, regional, or bilateral funders",Funding and economic support,Governance & coordination,"Early response, Intervention",A comprehensive description of this activity is coming soon.
Reverse back to routine coordination during recovery,Operational coordination,Governance & coordination,Post-intervention & recovery,A comprehensive description of this activity is coming soon.
Reverse previously issued restrictions,"Governance and policy, Communication",Governance & coordination,Post-intervention & recovery,"<p>Previously issued restrictions can be reversed following a phased approach while an outbreak is still ongoing, or once an outbreak has been declared over. This includes rollback of restrictions on travel, trade, curfew, business hours, burials etc. The appropriate authority should issue a statement lifting the restrictions, making clear whether all restrictions are reversed or only some. In the case of a gradual reversal of previously issued restrictions, clear guidance should be provided to health workers, the private sector and the public on the phasing of the process, timeline, key indicators, behavior guidance, and any remaining restrictions.</p>"
Revitalize local economy,Funding and economic support,Governance & coordination,Post-intervention & recovery,"Revitalize the local economy following the outbreak, including restoring tourism, trade, and employment."
Scale up production of vaccines and medical countermeasures,"Vaccination, Operational coordination, Logistics and supply chain","Healthcare & IPC, Governance & coordination, Logistics & support","Intervention, Surveillance & preparedness, Detection, Early response","Health officials may determine that provision of a safe and efficacious vaccine or therapeutic will be an important tool to stem an outbreak and break further transmission. Launching a vaccination campaign will require scale-up of existing manufacturing for the needed vaccine, or initiation of research, development, and manufacturing for a new vaccine or treatment at a scale that can meet the need. The same will be true for diagnostics. Countries may opt to work with manufacturers on these efforts directly, or to join forces with multilateral institutions working on global efforts toward countermeasure availability. Countries in a position to have their own manufacturing base should plan for this well in advance of an outbreak."
Share genetic sequence data with international community,"Laboratory analysis, Attribution investigation, Governance and policy","Epidemiology & lab analysis, Safety & security, Governance & coordination","Intervention, Post-intervention & recovery, Detection, Early response","<p>Data that describe the genetic sequence of a pathogen can be a valuable tool for understanding and controlling infectious disease outbreaks.<sup class=""footnote"" data-id=""1"">1</sup> Rapid and ethically appropriate sharing of this information with the international community enables researchers and scientists around the globe to collaborate more effectively to characterize the causative agent, understand its spread, and develop diagnostics, treatments, and vaccines.<sup class=""footnote"" data-id=""2"">2</sup></p><p>While no international legal instrument requires countries to share genetic sequence data (GSD), making GSD publicly available is strongly encouraged to better inform public health and research decision-making during outbreaks. The World Health Organization <em>Code of Conduct for Open and Timely Sharing of Pathogen Genetic Sequence Data During Outbreaks of Infectious Disease</em> advocates for the public sharing of GSD in addition to “the equitable sharing of benefits derived from the use of such data, and the legitimate interests of data providers.”<sup class=""footnote"" data-id=""3"">3</sup></p><p>To reach national and international stakeholders, sequence data can be uploaded to online databases such as GenBank, ENA, DDBJ, GISAID depending on the interest of data ownership. Among others, these stakeholders may include epidemiologists studying transmission dynamics; health officials looking to make decisions for their own countries; and law enforcement agencies working on attribution investigations.</p>"
Share information and key messages with the public,"Communication, Community engagement","Governance & coordination, Humanitarian assistance","Early response, Intervention, Post-intervention & recovery","<p>In a humanitarian response, it is crucial to be able to communicate and engage effectively with affected populations by sharing information and key messages so that they are able to make informed decisions to protect themselves and their loved ones.<sup class=""footnote"" data-id=""1"">1</sup> Doing so should utilize appropriate and trusted channels of communication, while bringing together a diverse range of stakeholders. Messages may serve to raise awareness, change or promote certain behaviors, inform on risks, enable mutual dialogue and understanding, and keep populations up to date on and engaged in response activities.<sup class=""footnote"" data-id=""2"">2</sup> Channels may include press briefings, news releases, fact sheets, visual materials, radio, television, newspapers, emails, telephones, social media, flyers, presentations, and folk and traditional media. When creating and disseminating messages it is helpful to:</p><p><ul><li>Understand the characteristics and needs of affected populations to create relevant and customized messages<sup class=""footnote"" data-id=""3"">3</sup></li> <li>Support community engagement by coordinating with local institutions and networks to deliver well-timed messages to target audiences<sup class=""footnote"" data-id=""4"">4</sup> </li> <li>Communicate in a timely fashion, engaging audiences when they are most likely to be receptive to health information<sup class=""footnote"" data-id=""5"">5</sup></li> <li>Collaborate with partners and local stakeholders to access a diverse range of channels for disseminating important messages<sup class=""footnote"" data-id=""6"">6</sup> </li> <li>Coordinate messages with all stakeholders and partners, speaking as one voice in order to maintain trust and credibility<sup class=""footnote"" data-id=""7"">7</sup></li> <li>Be transparent about what is known and unknown and acknowledge uncertainty<sup class=""footnote"" data-id=""8"">8</sup></li> <li>Ensure messages are easily understood and recalled by employing simple language and a diversity of techniques such as stories, visuals and repetition<sup class=""footnote"" data-id=""9"">9</sup> </li> <li>Distribute messages in relevant languages</li> <li>Connect messages to local priorities<sup class=""footnote"" data-id=""10"">10</sup></li></ul></p>"
Stabilize impacts to financial systems,Funding and economic support,Governance & coordination,"Intervention, Post-intervention & recovery","Reduce impact on financial systems by developing policies that ensure the swift response to outbreaks, protect sectors worst affected by the outbreak (i.e. health and life insurance companies) and enhance sectors that benefit financially from the outbreak (i.e. pharmaceutical companies). Protect individuals most susceptible to a financial catastrophe."
"Staff clinics, hospitals, and community health centers",Human resource management,Logistics & support,"Detection, Early response, Intervention","<p>During an outbreak, clinics, hospitals, and community health centers need adequate and competent staff. Response teams should be prepared to meet greater need for health services. Past epidemics and their difficulties with staffing<sup class=""footnote"" data-id=""1"">1</sup> have illuminated specific considerations for planning:</p><p><ul><li><strong>Network of professionals</strong> who can be mobilized if and when a need arises</li> <li><strong>Incentives and other means of support</strong> for staff </li> <li><strong>Ongoing education</strong> for professionals to ensure they are up to date on current best practices<sup class=""footnote"" data-id=""2"">2</sup></li></ul></p><p>The outbreak preparedness plan should define essential staff and services by identifying which services would need to be delivered and by whom. These designations elucidate potential deficiencies such as staffing shortages and lack of guidelines. Authorities should also outline contingency plans to address these deficiencies such as cross-training staff for certain responsibilities, establishing mutual aid agreements, hiring temporary professionals, and reaching out to relief agencies.</p><p>Human resources considerations regarding staffing include identification and onboarding of volunteers as needed and planning for health and compensation concerns of staff members. Timely, accurate communication with staff fosters trust in leadership, promotes the effective delivery of services, and supports their and their families’ safety.<sup class=""footnote"" data-id=""3"">3</sup></p><p>During an outbreak, authorities should use their preparedness plan to guide how they identify staffing needs and adjust to an evolving threat. It is critically important to maintain communication channels with staff and remain apprised of the current health situation. This allows for a flexible, evidence-based response that respects staff and their capacity and meets the needs of the community.</p>"
Staff isolation facilities,Human resource management,Logistics & support,"Detection, Early response, Intervention","<p>Isolation facilities allow individuals with an infectious illness to be separated from those who are healthy, restricting their movement in order to stop the spread of the illness and allowing the focused delivery of specialized health care. Designated healthcare facilities can serve as institutional spaces for isolation.<sup class=""footnote"" data-id=""1"">1</sup> These facilities must be staffed appropriately to ensure that they can effectively serve their purpose.</p><p>For general information on staffing during an outbreak, please review <strong>“Staff clinics, hospitals, and community health centers.”</strong> The outbreak preparedness plan should contain specific guidance on staffing isolation facilities. Ideally, individuals trained in clinical management, infection control, and correct use of personal protective equipment should manage and staff isolation facilities. These individuals are best prepared to reduce the risk of transmission to health care workers, promoting a safe work environment for staff and protecting staff families from acquiring the disease.</p><p>Staff in isolation facilities must be able to manage patients according to space capacity<sup class=""footnote"" data-id=""2"">2</sup> and implement infection prevention and control measures.<sup class=""footnote"" data-id=""3"">3</sup> Necessary personnel will include medical, IPC, occupational health, administrative, and support staff.</p><p>Other considerations for staffing isolation facilities include:</p><p><ul><li>Implementation of flexible, non-punitive sick-leave policies </li> <li>Inclusion of IPC-trained staff in planning</li> <li>Assurance of access to occupational health services should staff experience a work-place exposure and/or become ill,</li> <li>Surveillance for infectious diseases<sup class=""footnote"" data-id=""4"">4</sup><sup>,</sup><sup class=""footnote"" data-id=""5"">5</sup></li></ul></p>"
Storage of samples,"Epidemiological investigation, Laboratory analysis, Attribution investigation","Epidemiology & lab analysis, Safety & security","Intervention, Surveillance & preparedness, Post-intervention & recovery, Detection, Early response","<p>Sample storage is an important step that supports a complete epidemiological investigation as well as legal investigations. Samples must be kept properly labeled and in appropriate environmental conditions from the moment they are collected, received at the laboratory, processed, and analyzed. The volume of samples coming into a laboratory during an outbreak may be large, necessitating ample short-term storage space while the samples are in line for processing. The investigation may also need to return to previously tested samples for additional analysis; maintaining their biological integrity and ensuring identifiers are in place is thus requisite.</p><p>Laboratory staff must be trained in laboratory biosafety and biosecurity as part of sample storage training; the laboratory must have completed a laboratory biorisk assessment and implemented any necessary steps to mitigate identified risks. Ensuring the integrity of the samples for future use while preventing accidents, theft, or inadvertent loss of specimens will preserve the investigation and the health of the laboratory staff and the public.</p><p>The Association of Public Health Laboratories provides best practices for the storage and retention of infectious samples.<sup class=""footnote"" data-id=""1"">1</sup> While the principles are generally the same, the World Organisation for Animal Health provides receipt and storage guidance for animal samples<sup class=""footnote"" data-id=""2"">2</sup> including pathogen-specific storage guidance.<sup class=""footnote"" data-id=""3"">3</sup> Brief considerations for near-term and longer-term storage are provided below.</p><em>Near-term storage</em><p>Storage requirements may vary my specimen type and the pathogen or other biological target (e.g., antibody) that is the subject of the inquiry. Considerations for preserving sample integrity include protection from desiccation, temperature fluctuations, ultraviolet light degradation, humidity, contamination, and the potential for loss of identification documentation.<sup class=""footnote"" data-id=""4"">4</sup> Samples needed for periodic access should be aliquoted to minimize freeze-thaw of master stock and avoid potential problems with repeated retrieval and return.<sup class=""footnote"" data-id=""5"">5</sup> Freezer storage at –20°C and –80°C are common for periods that may range from months to 5–10 years.</p><em>Longer-term storage</em><p>In addition to supporting ongoing epidemiological investigations, well-characterized specimen collections are critical for future research and development efforts, retrospective studies, and providing reference materials for assay standardization, validation, proficiency testing programs, and potential legal inquiries.<sup class=""footnote"" data-id=""6"">6</sup> These samples may be stored separately from those being used for more frequent access. Ultra-low temperatures (e.g. liquid nitrogen, cryopreservation in freezers at or below –140°C) are optimal for long-term storage.</p>"
Strengthen or revise infection prevention and control (IPC) guidelines,Infection prevention and control,Healthcare & IPC,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Infection prevention and control (IPC) practices are grounded in the sciences of infectious disease, epidemiology, and social science, and in health systems strengthening.<sup class=""footnote"" data-id=""1"">1</sup> Guidelines both general and specific draw on evidence from these fields to help reduce the risk of healthcare-associated infections (HAI) and antimicrobial resistance (AMR). As the evidence for effective IPC practices evolves, especially during an outbreak of a novel pathogen, the guidance should be updated.</p><p>Regular updates to standing IPC guidelines are necessary to ensure that they remain relevant.<sup class=""footnote"" data-id=""2"">2</sup> Similarly, guidelines for the management of a novel infectious disease may also evolve over time as scientific understanding about the pathogen in question progresses. Review and revision of guidelines can occur at all phases of an outbreak, beginning with preparedness and continuing into recovery.</p><p>The World Health Organization (WHO) provides a variety of IPC guidelines on topics like hand hygiene, injection safety, surgical site infections, AMR, and other topics.<sup class=""footnote"" data-id=""3"">3</sup> The WHO will often provide specific IPC guidance for novel outbreaks as the evidence to do so becomes available. The WHO updates its guidance as warranted, and countries and facilities using WHO guidance should refer regularly to the WHO website or their local or regional WHO offices to monitor for updates.</p><p>Planners and healthcare officials can also draft their own IPC guidelines. Developing relevant, evidence-based IPC guidelines is one of the key functions of a national IPC program. National or facility-based programs developing their own guidance should monitor their own IPC progress during an outbreak as an indicator for whether their approach is working, and update guidelines as needed based on observed deficiencies and/or new information in the scientific literature and made available by expert associations. New guidelines will need to be distributed to healthcare providers, who will need to be educated about their revised content, and trained as appropriate.</p>"
Support occupational health and safety of responders,Human resource management,Logistics & support,"Early response, Intervention, Post-intervention & recovery","<p>During an outbreak, responders aim to prevent the disease’s spread, protect individuals most at risk, and to care for all already infected. Responders are exposed to hazards at the frontline that leave them susceptible to infection by a pathogen, posing a danger to both their own health and that of the affected community.<sup class=""footnote"" data-id=""1"">1</sup> Specific hazards include:</p><p><ul><li>Biological-pathogen exposure</li> <li>Physical-violence, long working hours</li> <li>Psychological-distress, fatigue, burnout, stigma<sup class=""footnote"" data-id=""2"">2</sup></li></ul></p><p>The occupational health and safety of responders are of utmost priority to the leaders coordinating the response. These critical personnel must focus on addressing the outbreak, and their needs must be met in order to do so. Leadership in health facilities and/or on the outbreak response team can support the health and uphold the security of responders in multiple ways.</p><p>Staff ought to receive sufficient resources to carry out their responsibilities. There should be adequate infection and prevention control (IPC) and PPE supplies. They should receive any available and relevant vaccinations prior to deployment. They also need accurate, pertinent, timely information, instruction, and training on their safety and health and the services they are providing. For example, staff should know how to use, put on, take off, and dispose of personal protective equipment (PPE). They should also be familiar with self-assessment and staying home when ill. As well, staff should receive technical updates on new developments with the outbreak, and have access to appropriate tools for the assessment, triage, testing, and treatment of patients.</p><p>As well, responders should feel heard, supported, and valued as critical members of the response team. An accessible, reliable communication channel between leadership and responders can foster trust and allow for an understanding of events on the ground and adjustments to the response as needed. If possible and appropriate, responders should have access to mental health and counseling resources.</p><p>Responders may remove themselves from situations they deem to pose imminent and serious danger to their life or health, and be protected from consequences for this decision. Moreover, if infected in the workplace, responders may seek compensation, rehabilitation, and curative services. This underscores the importance of maintaining an effective communication mechanism between responders and leadership throughout the outbreak and into the recovery period.<sup class=""footnote"" data-id=""3"">3</sup></p><p>Special precautions ought to be taken to protect responders when handling remains. See <strong>“Retrieve and transport human remains”</strong> for more details.</p><p>In addition to the health of responders, their security is also a high priority. Civil unrest and war contribute to the spread of infectious disease, underscoring the importance of collaboration with security professionals (eg., law enforcement, the United Nations Department for Safety and Security, International Crime Police Organization, UN Peacekeepers) to keep responders safe and the outbreak in check.<sup class=""footnote"" data-id=""4"">4</sup></p>"
Support safe community reintegration for displaced populations,Emergency humanitarian response,Humanitarian assistance,Post-intervention & recovery,"Support safe and security community reintegration for displaced populations, including internally displaced populations. Work alongside local authorities to protect the legal status of displaced individuals and facilitate social reintegration of displaced population into their communities."
"Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife",Animal health,Healthcare & IPC,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Surveillance is the “systematic ongoing collection, collation, and analysis of information related to animal health and the timely dissemination of information so that action can be taken.”<sup class=""footnote"" data-id=""1"">1</sup> The term “tracing” is less well defined, but typically refers to the ability to follow (i.e., trace) a given animal or population of animals across its life stages; in the context of surveillance, it is used to signal the ability to identify the locations and interactions of infected animals prior to and during infection.</p><p>The capability to identify animals harboring a pathogenic infection is requisite for implementing prevention and control measures. The World Organisation for Animal Health (OIE) publishes the <em>Terrestrial Animal Health Code</em> , a resource of animal health standards intended for use by veterinary authorities of importing and exporting countries to enable early detection, reporting and control of pathogens in terrestrial animals and the prevention of their spread via international trade.<sup class=""footnote"" data-id=""2"">2</sup> Its implementation is required for OIE Member countries. It describes elements of surveillance systems including:</p><p><ul><li>Design of surveillance systems</li> <li>Surveillance data collection sources and methods</li> <li>Timing of surveillance data collection</li> <li>Use of case definitions</li> <li>Use of diagnostic tests</li> <li>Analytical methodologies</li></ul></p><p>The <em>Code</em> also describes guidelines for the surveillance for a long list of specific infectious diseases of concern, such as anthrax, foot-and-mouth disease, and avian influenza (See Volume II).<sup class=""footnote"" data-id=""3"">3</sup> While the focus of the <em>Code</em> is on protecting the livestock trade, it does describe the kinds of supporting wildlife surveillance data that can be useful for managing outbreak situations. Outputs generated by wildlife surveillance systems are important in that they can include detection of new disease events or demonstration of freedom from disease.<sup class=""footnote"" data-id=""4"">4</sup> The OIE’s permanent working group on wildlife health issues a training manual on wildlife health information management, with an emphasis on data management and sharing.<sup class=""footnote"" data-id=""5"">5</sup> Many countries may not be well resourced to collect wildlife surveillance data that could be used for this purpose.</p><p>Member countries can report disease incidence and surveillance data via “Immediate Notification” and “Follow-up Reports” pathways as described by OIE guidance.<sup class=""footnote"" data-id=""6"">6</sup> Anyone can view country-level disease information reported to the OIE via the World Animal Health Information Database (WAHIS).<sup class=""footnote"" data-id=""7"">7</sup></p>"
"Test for antiviral, antibiotic, and/or vaccine resistance","Laboratory analysis, Attribution investigation, Clinical care and case management","Epidemiology & lab analysis, Safety & security, Healthcare & IPC","Intervention, Post-intervention & recovery, Detection, Early response","<p>Antimicrobial resistance (AMR) is a major global health threat. AMR refers to the resistance of microbial pathogens – bacterial, viral, fungal, or parasitic – against drugs used to prevent or treat them. Its pervasiveness necessitates the use of laboratory testing to determine if the pathogen responsible for an outbreak is susceptible or resistant to one or more drugs, including antivirals, antibiotics, antifungals, or antiparasitics.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Various laboratory tests are used to detect resistance or reduced susceptibility. They include specific functional assays (genotypic or phenotypic) and molecular techniques (sequencing and pyrosequencing).<sup class=""footnote"" data-id=""2"">2</sup> These tests identify genetic changes typically associated with reduced susceptibility. Phenotypic assays are the standard, but are time consuming and depend on an ability to propagate the virus.<sup class=""footnote"" data-id=""3"">3</sup> Genotypic assays, on the other hand, are easier to carry out, but are often unable to detect the mutations that lead to resistance. Genome sequencing, a process by which the DNA sequence of a pathogen is identified in a single process,<sup class=""footnote"" data-id=""4"">4</sup> can also support investigations of resistance. This process may help scientists to investigate whether the pathogen has any antiviral, antibiotic, and/or vaccine resistance.</p>"
Train burial teams,"Decedent management, Human resource management","Healthcare & IPC, Logistics & support","Surveillance & preparedness, Detection, Early response, Intervention","<p>During an outbreak, burial teams must receive adequate, disease-specific, and culturally aware training on safe and respectful burial practices. Some planning, training, and exercising can be done in advance of an outbreak even before the outbreak pathogen is known.</p><p>At least one team should be trained. The level at which trainings are delivered (e.g., by district, by village) should be determined based on the scope of the outbreak. Personnel should be prepared to translate training into practice through education on the standard operating procedures for burial and with the supply of necessary resources (e.g., personal protective equipment, chlorine sprayers, vehicles).<sup class=""footnote"" data-id=""1"">1</sup></p><p>Generally, each burial team should consist of:</p><p><ul><li>People to transport bodies (4)</li> <li>Person to disinfect (1)</li> <li>Person to interact with local community (1)</li> <li>Supervisor</li> <li>Driver</li></ul></p><p>The precise team make-up and number of teams will be influenced by available human resources and the magnitude of the outbreak. Each team must be prepared to carry out the aforementioned responsibilities with sufficient staff.<sup class=""footnote"" data-id=""2"">2</sup></p><p></p>"
Train call center employees and translators,"Communication, Human resource management","Governance & coordination, Logistics & support","Early response, Intervention","Hotline teams should be trained on both technical and behavioral components of the role. In evolving situations, trainings should take place regularly to relay new information."
Train community on surveillance and/or contact tracing,"Contact tracing and monitoring, Community engagement, Human resource management","Epidemiology & lab analysis, Humanitarian assistance, Logistics & support","Intervention, Surveillance & preparedness, Detection, Early response","<p>Training community members to participate in disease surveillance and contact tracing can be an effective method to complement facility-based surveillance and epidemiology practice.<sup class=""footnote"" data-id=""1"">1</sup> It allows for expanded monitoring of the community which can enable rapid identification and response to public health emergencies.</p><p>Contact tracing relies on active participation and cooperation from communities to be effective.<sup class=""footnote"" data-id=""2"">2</sup> A relationship of trust must exist between public health officials and the community in order to effectively develop local surveillance capacity and carry out contact tracing. To engage the community and cultivate community ownership, key members and stakeholders should be identified, including community health workers, volunteers, NGOs, traditional healers, community leaders, et. and trained on how to quickly and accurately identify contacts. When possible, community health workers and volunteers should be closely supervised by trained epidemiologists. Trainings can be delivered as a series of linked workshops with practical field-based projects, providing short-term service at the local levels.<sup class=""footnote"" data-id=""3"">3</sup> Training community members can also serve to better inform public perception of diseases and discourage stigma.</p>"
Train contact tracers,Contact tracing and monitoring,Epidemiology & lab analysis,Surveillance & preparedness,"<p>The epidemiological workforce should be trained in contact tracing to quickly and accurately identify the contacts of confirmed and suspected cases and implement the necessary preventive and/or response measures.</p><p>Contact tracing includes three distinct steps: contact identification; contact listing and contact follow-up. Training should cover all related steps. Contact tracing training objectives include clearly defining interviewer responsibilities, outlining the information required for contact listing, and setting contact follow-up times and procedures.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Comprehensive training should include how to properly identify contacts by interviewing the index case(s). Once contacts are identified, they should be interviewed and screed for symptoms.<sup class=""footnote"" data-id=""2"">2</sup> When probable or suspect cases are identified, they should be referred for further diagnosis and testing. Epidemiologists should be instructed on effective interviewing techniques for index cases and how to collect detailed information on potential contacts. Training should also cover contact listing and contact follow up to monitoring the individual for a set time after exposure to determine whether they present any signs or symptoms.</p><p>Also important in contact tracing training is understanding the strategy, how to obtain community and individual compliance, communication skills, and cultural awareness and adaptability.<sup class=""footnote"" data-id=""3"">3</sup></p>"
